13-Sep-22 13:21:25 INFO run_ipd ............. run IPD 1605557700 .............
13-Sep-22 13:21:25 INFO remove_old_ips_from_range   > remove IPs older than 120 seconds
13-Sep-22 13:24:59 INFO is_prevalent_ingress_still_valid      NO → remove all information for 212.28.0.0: defaultdict(<bound method IPD.__subnet_atts of <__main__.IPD object at 0x0000000002b8cd40>>, {'prevalent': 'VIE-SA5.359', 'total': 68894, 'miss': 3483, 'prevalent_last_seen': 1605557700})
13-Sep-22 13:24:59 INFO get_prevalent_ingress         prevalent for 4/14/193.220.0.0/prevalent: WAW-SB4.b_3 (0.97)
13-Sep-22 13:24:59 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:24:59 INFO join_siblings         join siblings for range 4/14/193.220.0.0/prevalent
13-Sep-22 13:25:18 INFO join_siblings  NO -> do nothing
13-Sep-22 13:25:18 INFO get_prevalent_ingress         prevalent for 4/14/188.196.0.0/prevalent: VIE-SB6.426 (0.98)
13-Sep-22 13:25:18 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:25:18 INFO join_siblings         join siblings for range 4/14/188.196.0.0/prevalent
13-Sep-22 13:25:36 INFO join_siblings  NO -> do nothing
13-Sep-22 13:25:36 INFO get_prevalent_ingress         prevalent for 4/14/178.240.0.0/prevalent: IST-SA1.213 (0.96)
13-Sep-22 13:25:36 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:25:36 INFO join_siblings         join siblings for range 4/14/178.240.0.0/prevalent
13-Sep-22 13:25:36 INFO get_prevalent_ingress         prevalent for 4/14/178.164.0.0/prevalent: VIE-SB5.21 (0.99)
13-Sep-22 13:25:36 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:25:36 INFO join_siblings         join siblings for range 4/14/178.164.0.0/prevalent
13-Sep-22 13:25:36 INFO get_prevalent_ingress         prevalent for 4/14/162.248.0.0/prevalent: F-EE1.9 (0.96)
13-Sep-22 13:25:36 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:25:36 INFO join_siblings         join siblings for range 4/14/162.248.0.0/prevalent
13-Sep-22 13:25:36 INFO get_prevalent_ingress         prevalent for 4/13/85.192.0.0/prevalent: F-EE1.15 (0.96)
13-Sep-22 13:25:36 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:25:36 INFO join_siblings         join siblings for range 4/13/85.192.0.0/prevalent
13-Sep-22 13:25:36 INFO get_prevalent_ingress         prevalent for 4/13/84.40.0.0/prevalent: VIE-SB5.13 (0.97)
13-Sep-22 13:25:36 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:25:36 INFO join_siblings         join siblings for range 4/13/84.40.0.0/prevalent
13-Sep-22 13:25:58 INFO join_siblings  NO -> do nothing
13-Sep-22 13:25:58 INFO get_prevalent_ingress         prevalent for 4/13/80.104.0.0/prevalent: VIE-SB5.1605 (0.96)
13-Sep-22 13:25:58 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:25:58 INFO join_siblings         join siblings for range 4/13/80.104.0.0/prevalent
13-Sep-22 13:26:20 INFO join_siblings  NO -> do nothing
13-Sep-22 13:26:20 INFO get_prevalent_ingress         prevalent for 4/13/46.200.0.0/prevalent: VIE-SB6.14 (0.99)
13-Sep-22 13:26:20 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:26:20 INFO join_siblings         join siblings for range 4/13/46.200.0.0/prevalent
13-Sep-22 13:26:20 INFO get_prevalent_ingress         prevalent for 4/13/23.40.0.0/prevalent: VIE-SB5.1493 (0.97)
13-Sep-22 13:26:20 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:26:20 INFO join_siblings         join siblings for range 4/13/23.40.0.0/prevalent
13-Sep-22 13:26:40 INFO join_siblings  NO -> do nothing
13-Sep-22 13:26:40 INFO get_prevalent_ingress         prevalent for 4/13/217.240.0.0/prevalent: S-ED81.b_2 (0.98)
13-Sep-22 13:26:40 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:26:40 INFO join_siblings         join siblings for range 4/13/217.240.0.0/prevalent
13-Sep-22 13:27:03 INFO join_siblings  NO -> do nothing
13-Sep-22 13:27:03 INFO get_prevalent_ingress         prevalent for 4/13/213.80.0.0/prevalent: VIE-SB5.13 (0.98)
13-Sep-22 13:27:03 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:27:03 INFO join_siblings         join siblings for range 4/13/213.80.0.0/prevalent
13-Sep-22 13:27:27 INFO join_siblings  NO -> do nothing
13-Sep-22 13:27:27 INFO get_prevalent_ingress         prevalent for 4/13/212.88.0.0/prevalent: VIE-SA5.9 (0.98)
13-Sep-22 13:27:27 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:27:27 INFO join_siblings         join siblings for range 4/13/212.88.0.0/prevalent
13-Sep-22 13:27:47 INFO join_siblings  NO -> do nothing
13-Sep-22 13:27:47 INFO get_prevalent_ingress         prevalent for 4/13/193.248.0.0/prevalent: F-EB14.148 (0.98)
13-Sep-22 13:27:47 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:27:47 INFO join_siblings         join siblings for range 4/13/193.248.0.0/prevalent
13-Sep-22 13:28:07 INFO join_siblings  NO -> do nothing
13-Sep-22 13:28:07 INFO get_prevalent_ingress         prevalent for 4/13/188.144.0.0/prevalent: VIE-SB6.14 (0.96)
13-Sep-22 13:28:07 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:28:07 INFO join_siblings         join siblings for range 4/13/188.144.0.0/prevalent
13-Sep-22 13:28:07 INFO get_prevalent_ingress         prevalent for 4/13/178.40.0.0/prevalent: VIE-SB5.13 (0.99)
13-Sep-22 13:28:07 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:28:07 INFO join_siblings         join siblings for range 4/13/178.40.0.0/prevalent
13-Sep-22 13:28:07 INFO get_prevalent_ingress         prevalent for 4/13/178.176.0.0/prevalent: VIE-SB6.14 (0.97)
13-Sep-22 13:28:07 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:28:07 INFO join_siblings         join siblings for range 4/13/178.176.0.0/prevalent
13-Sep-22 13:28:30 INFO join_siblings  NO -> do nothing
13-Sep-22 13:28:30 INFO get_prevalent_ingress         prevalent for 4/12/66.144.0.0/prevalent: WAS-SA2.b_1 (0.97)
13-Sep-22 13:28:30 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:28:30 INFO join_siblings         join siblings for range 4/12/66.144.0.0/prevalent
13-Sep-22 13:28:50 INFO join_siblings  NO -> do nothing
13-Sep-22 13:28:50 INFO get_prevalent_ingress         prevalent for 4/12/46.112.0.0/prevalent: VIE-SA5.9 (0.97)
13-Sep-22 13:28:50 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:28:50 INFO join_siblings         join siblings for range 4/12/46.112.0.0/prevalent
13-Sep-22 13:28:50 INFO get_prevalent_ingress         prevalent for 4/12/192.48.0.0/prevalent: WAS-SA3.12 (0.96)
13-Sep-22 13:28:50 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:28:50 INFO join_siblings         join siblings for range 4/12/192.48.0.0/prevalent
13-Sep-22 13:28:50 INFO get_prevalent_ingress         prevalent for 4/11/89.64.0.0/prevalent: WAW-SB4.235 (0.98)
13-Sep-22 13:28:50 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:28:50 INFO join_siblings         join siblings for range 4/11/89.64.0.0/prevalent
13-Sep-22 13:29:19 INFO join_siblings  NO -> do nothing
13-Sep-22 13:29:19 INFO get_prevalent_ingress         prevalent for 4/11/78.96.0.0/prevalent: VIE-SB5.13 (0.98)
13-Sep-22 13:29:19 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:29:19 INFO join_siblings         join siblings for range 4/11/78.96.0.0/prevalent
13-Sep-22 13:29:19 INFO get_prevalent_ingress         prevalent for 4/11/178.96.0.0/prevalent: VIE-SB5.21 (0.97)
13-Sep-22 13:29:19 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:29:19 INFO join_siblings         join siblings for range 4/11/178.96.0.0/prevalent
13-Sep-22 13:29:19 INFO get_prevalent_ingress         prevalent for 4/11/146.0.0.0/prevalent: F-EE1.15 (0.95)
13-Sep-22 13:29:19 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:29:19 INFO join_siblings         join siblings for range 4/11/146.0.0.0/prevalent
13-Sep-22 13:29:44 INFO join_siblings  NO -> do nothing
13-Sep-22 13:29:44 INFO get_prevalent_ingress         prevalent for 4/10/86.128.0.0/prevalent: LON-SA1.409 (0.99)
13-Sep-22 13:29:44 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:29:44 INFO join_siblings         join siblings for range 4/10/86.128.0.0/prevalent
13-Sep-22 13:30:09 INFO join_siblings  NO -> do nothing
13-Sep-22 13:30:09 INFO get_prevalent_ingress         prevalent for 4/10/79.0.0.0/prevalent: MIL-SA1.9 (0.98)
13-Sep-22 13:30:09 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:30:09 INFO join_siblings         join siblings for range 4/10/79.0.0.0/prevalent
13-Sep-22 13:30:09 INFO get_prevalent_ingress         prevalent for 4/10/160.0.0.0/prevalent: L-EA5.257 (0.97)
13-Sep-22 13:30:09 INFO is_prevalent_ingress_still_valid      YES → join siblings ? (join(s_color ) >= q) 
13-Sep-22 13:30:09 INFO join_siblings         join siblings for range 4/10/160.0.0.0/prevalent
13-Sep-22 13:30:30 INFO join_siblings  NO -> do nothing
13-Sep-22 13:30:30 INFO run_ipd    current_range: 6/0/::
13-Sep-22 13:30:30 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 6/0/::   s_ipcount=32290687 min_samples=103079215104
13-Sep-22 13:30:30 INFO run_ipd       NO -> join siblings
13-Sep-22 13:30:30 INFO join_siblings         join siblings for range 6/0/::
13-Sep-22 13:30:30 INFO join_siblings         join siblings not possible - we are at the root of the tree
13-Sep-22 13:30:30 INFO run_ipd    current_range: 4/3/224.0.0.0
13-Sep-22 13:30:30 WARNING get_sample_count  key 4/3/224.0.0.0 does not exist
13-Sep-22 13:30:30 INFO run_ipd skip this range since there is nothing to do here
13-Sep-22 13:30:30 INFO run_ipd    current_range: 4/6/220.0.0.0
13-Sep-22 13:30:30 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/6/220.0.0.0   s_ipcount=58802 min_samples=524288
13-Sep-22 13:30:30 INFO run_ipd       NO -> join siblings
13-Sep-22 13:30:30 INFO join_siblings         join siblings for range 4/6/220.0.0.0
13-Sep-22 13:30:30 INFO run_ipd    current_range: 4/7/218.0.0.0
13-Sep-22 13:30:30 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/7/218.0.0.0   s_ipcount=28644 min_samples=370727
13-Sep-22 13:30:30 INFO run_ipd       NO -> join siblings
13-Sep-22 13:30:30 INFO join_siblings         join siblings for range 4/7/218.0.0.0
13-Sep-22 13:30:30 INFO run_ipd    current_range: 4/13/217.248.0.0
13-Sep-22 13:30:30 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/217.248.0.0   s_ipcount=136 min_samples=46340
13-Sep-22 13:30:30 INFO run_ipd       NO -> join siblings
13-Sep-22 13:30:30 INFO join_siblings         join siblings for range 4/13/217.248.0.0
13-Sep-22 13:30:54 INFO join_siblings  NO -> do nothing
13-Sep-22 13:30:54 INFO run_ipd    current_range: 4/12/217.224.0.0
13-Sep-22 13:30:54 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/12/217.224.0.0   s_ipcount=2482 min_samples=65536
13-Sep-22 13:30:54 INFO run_ipd       NO -> join siblings
13-Sep-22 13:30:54 INFO join_siblings         join siblings for range 4/12/217.224.0.0
13-Sep-22 13:30:54 INFO run_ipd    current_range: 4/11/217.192.0.0
13-Sep-22 13:30:54 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/11/217.192.0.0   s_ipcount=32713 min_samples=92681
13-Sep-22 13:30:54 INFO run_ipd       NO -> join siblings
13-Sep-22 13:30:54 INFO join_siblings         join siblings for range 4/11/217.192.0.0
13-Sep-22 13:30:54 INFO run_ipd    current_range: 4/12/217.176.0.0
13-Sep-22 13:30:54 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/12/217.176.0.0   s_ipcount=57837 min_samples=65536
13-Sep-22 13:30:54 INFO run_ipd       NO -> join siblings
13-Sep-22 13:30:54 INFO join_siblings         join siblings for range 4/12/217.176.0.0
13-Sep-22 13:30:54 INFO run_ipd    current_range: 4/15/217.174.0.0
13-Sep-22 13:30:54 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/217.174.0.0   s_ipcount=23960 min_samples=23170
13-Sep-22 13:31:36 INFO get_prevalent_ingress         no prevalent ingress found: {'PAR-SB3.641': 0.736, 'F-EK1.226': 0.113, 'VIE-SA5.388': 0.101, 'VIE-SB5.30': 0.011, 'N-EB6.153': 0.01, 'LON-SB2.353': 0.008, 'VIE-SB5.26': 0.006, 'VIE-SB5.141': 0.004, 'HH-EA13.48': 0.003, 'F-ED14.564': 0.002, 'VIE-SB5.1530': 0.001, 'VIE-SB5.1507': 0.001, 'MIL-SA1.9': 0.001, 'AMS-SB5.12': 0.0, 'AMS-SB6.438': 0.0, 'AMS-SC1.20': 0.0, 'F-EE10.428': 0.0, 'F-EH1.13': 0.0, 'F-EH2.300': 0.0, 'F-ED14.37': 0.0, 'AMS-E7.12': 0.0, 'LON-SB2.13': 0.0, 'PAR-SB3.9': 0.0, 'AMS-SB5.525': 0.0, 'F-EH2.12': 0.0, 'F-ED11.508': 0.0, 'F-ED11.507': 0.0, 'F-ED13.735': 0.0, 'AMS-SB5.22': 0.0, 'F-ED11.424': 0.0, 'F-ED11.256': 0.0, 'VIE-SB5.12': 0.0}
13-Sep-22 13:31:36 INFO get_prevalent_ingress         prevalent for 4/15/217.174.0.0: None (-1.00)
13-Sep-22 13:31:36 INFO run_ipd         NO -> split subnet
13-Sep-22 13:31:36 INFO split_range           split 217.174.0.0/15 into 217.174.0.0/16 and 217.175.0.0/16
13-Sep-22 13:31:54 INFO run_ipd    current_range: 4/15/217.172.0.0
13-Sep-22 13:31:54 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/217.172.0.0   s_ipcount=10944 min_samples=23170
13-Sep-22 13:31:54 INFO run_ipd       NO -> join siblings
13-Sep-22 13:31:54 INFO join_siblings         join siblings for range 4/15/217.172.0.0
13-Sep-22 13:31:54 INFO run_ipd    current_range: 4/14/217.168.0.0
13-Sep-22 13:31:54 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/217.168.0.0   s_ipcount=19301 min_samples=32768
13-Sep-22 13:31:54 INFO run_ipd       NO -> join siblings
13-Sep-22 13:31:54 INFO join_siblings         join siblings for range 4/14/217.168.0.0
13-Sep-22 13:31:54 INFO run_ipd    current_range: 4/14/217.164.0.0
13-Sep-22 13:31:54 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/217.164.0.0   s_ipcount=971 min_samples=32768
13-Sep-22 13:31:54 INFO run_ipd       NO -> join siblings
13-Sep-22 13:31:54 INFO join_siblings         join siblings for range 4/14/217.164.0.0
13-Sep-22 13:32:29 INFO join_siblings  NO -> do nothing
13-Sep-22 13:32:29 INFO run_ipd    current_range: 4/14/217.160.0.0
13-Sep-22 13:32:29 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/217.160.0.0   s_ipcount=49649 min_samples=32768
13-Sep-22 13:32:45 INFO get_prevalent_ingress         no prevalent ingress found: {'F-EE1.328': 0.192, 'F-EE1.355': 0.187, 'F-EE1.329': 0.182, 'F-EE1.327': 0.18, 'F-ED11.506': 0.042, 'F-ED11.509': 0.041, 'F-ED11.508': 0.039, 'F-ED11.507': 0.037, 'ZRH-SA1.642': 0.029, 'F-EE5.1569': 0.023, 'VIE-SB5.1530': 0.019, 'LON-SB2.10': 0.009, 'LON-SB2.11': 0.008, 'F-EH1.13': 0.005, 'VIE-SB5.1507': 0.001, 'B-EH2.10': 0.001, 'LON-SB2.13': 0.001, 'F-EH2.526': 0.001, 'LON-SA1.939': 0.001, 'PAR-SB3.15': 0.001, 'F-EH1.335': 0.0, 'ULM-EB5.54': 0.0, 'F-ED12.9': 0.0, 'F-ED14.496': 0.0, 'F-ED12.74': 0.0, 'F-ED12.359': 0.0, 'D-ED6.12': 0.0, 'F-ED13.254': 0.0, 'F-ED13.608': 0.0, 'LON-SA1.410': 0.0, 'WAW-SB4.235': 0.0, 'VIE-SB5.26': 0.0}
13-Sep-22 13:32:45 INFO get_prevalent_ingress         prevalent for 4/14/217.160.0.0: None (-1.00)
13-Sep-22 13:32:45 INFO run_ipd         NO -> split subnet
13-Sep-22 13:32:45 INFO split_range           split 217.160.0.0/14 into 217.160.0.0/15 and 217.162.0.0/15
13-Sep-22 13:32:53 INFO run_ipd    current_range: 4/13/217.152.0.0
13-Sep-22 13:32:53 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/13/217.152.0.0   s_ipcount=5409 min_samples=46340
13-Sep-22 13:32:53 INFO run_ipd       NO -> join siblings
13-Sep-22 13:32:53 INFO join_siblings         join siblings for range 4/13/217.152.0.0
13-Sep-22 13:32:53 INFO run_ipd    current_range: 4/15/217.150.0.0
13-Sep-22 13:32:53 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/217.150.0.0   s_ipcount=19657 min_samples=23170
13-Sep-22 13:32:53 INFO run_ipd       NO -> join siblings
13-Sep-22 13:32:53 INFO join_siblings         join siblings for range 4/15/217.150.0.0
13-Sep-22 13:34:10 INFO join_siblings  NO -> do nothing
13-Sep-22 13:34:10 INFO run_ipd    current_range: 4/15/217.148.0.0
13-Sep-22 13:34:10 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/15/217.148.0.0   s_ipcount=47241 min_samples=23170
13-Sep-22 13:34:44 INFO get_prevalent_ingress         no prevalent ingress found: {'VIE-SA5.517': 0.68, 'BCN-SA1.181': 0.201, 'M-EA10.830': 0.053, 'F-EK1.226': 0.031, 'AMS-SB5.697': 0.012, 'MAD-SA1.269': 0.012, 'WAW-SB4.154': 0.003, 'HH-EA13.48': 0.001, 'LON-SB2.353': 0.001, 'ZRH-SA1.710': 0.001, 'VIE-SB5.1530': 0.001, 'MAD-SA1.240': 0.001, 'ZRH-SA1.314': 0.001, 'AMS-SB5.869': 0.001, 'VIE-SB5.1507': 0.0, 'ULM-EB5.54': 0.0, 'AMS-SB5.22': 0.0, 'AMS-SB5.12': 0.0, 'LON-SA1.172': 0.0, 'PAR-SC2.10': 0.0, 'F-EH1.224': 0.0, 'AMS-SC1.20': 0.0, 'LON-SB2.13': 0.0, 'NYC-SB5.322': 0.0, 'F-ED14.398': 0.0, 'AMS-SC1.10': 0.0, 'F-ED14.496': 0.0, 'F-ED13.392': 0.0}
13-Sep-22 13:34:44 INFO get_prevalent_ingress         prevalent for 4/15/217.148.0.0: None (-1.00)
13-Sep-22 13:34:44 INFO run_ipd         NO -> split subnet
13-Sep-22 13:34:44 INFO split_range           split 217.148.0.0/15 into 217.148.0.0/16 and 217.149.0.0/16
13-Sep-22 13:34:58 INFO run_ipd    current_range: 4/14/217.144.0.0
13-Sep-22 13:34:58 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/14/217.144.0.0   s_ipcount=30646 min_samples=32768
13-Sep-22 13:34:58 INFO run_ipd       NO -> join siblings
13-Sep-22 13:34:58 INFO join_siblings         join siblings for range 4/14/217.144.0.0
13-Sep-22 13:34:58 INFO run_ipd    current_range: 4/12/217.128.0.0
13-Sep-22 13:34:58 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/12/217.128.0.0   s_ipcount=23268 min_samples=65536
13-Sep-22 13:34:58 INFO run_ipd       NO -> join siblings
13-Sep-22 13:34:58 INFO join_siblings         join siblings for range 4/12/217.128.0.0
13-Sep-22 13:34:58 INFO run_ipd    current_range: 4/11/217.96.0.0
13-Sep-22 13:34:58 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/11/217.96.0.0   s_ipcount=92257 min_samples=92681
13-Sep-22 13:34:58 INFO run_ipd       NO -> join siblings
13-Sep-22 13:34:58 INFO join_siblings         join siblings for range 4/11/217.96.0.0
13-Sep-22 13:34:58 INFO run_ipd    current_range: 4/12/217.80.0.0
13-Sep-22 13:34:58 INFO check_if_enough_samples_have_been_collected   > Check if enough samples have been collected (s_ipcount >= n_cidr ) 4/12/217.80.0.0   s_ipcount=43635 min_samples=65536
13-Sep-22 13:34:58 INFO run_ipd       NO -> join siblings
13-Sep-22 13:34:58 INFO join_siblings         join siblings for range 4/12/217.80.0.0
